#id	left	top	right	bottom
#intro
10000	362	21	378	53
#idle left
10001	1	21	17	53
#walk left
10002	29	21	37	53
10003	46	21	62	53
10004	63	21	79	53
#jump/duck
10005	84	21	100	53
#hurt
10006	275	21	291	53
#death
10007	308	21	324	53
10008	325	21	357	37
#climb stairs
#ascend
10011	154	21	170	53
10012	171	21	187	53
#descend
10021	211	21	227	53
10022	228	21	244	53
#colors
10031	406	21	422	53
#purple
10032	423	21	439	53
#yellow
10033	440	21	456	53
#red
10034	457	21	473	53
#white
10035	474	21	490	53
#whip/use subweapon
#standing
10041	1	78	25	110
10042	26	78	42	110
10043	43	78	67	110
10044	68	78	92	110
10045	93	78	117	110
10046	118	78	142	110
#ducking
10051	147	78	171	110
10052	172	78	188	110
10053	189	78	213	110
10054	214	78	238	110
10055	239	78	263	110
10056	264	78	287	110
#ascending stairs
10061	293	78	317	110
10062	318	78	334	110
10063	335	78	359	110
10064	360	78	384	110
10065	385	78	409	110
10066	410	78	434	110
#descending stairs
10071	439	78	463	110
10072	464	78	480	110
10073	481	78	505	110
10074	506	78	530	110
10075	531	78	555	110
10076	556	78	580	110

#idle right
11001	1581	21	1597	53
#walk right
11002	1553	21	1569	53
11003	1536	21	1552	53
11004	1519	21	1535	53
#jump/duck
11005	1498	21	1514	53
#hurt
11006	1307	21	1323	53
#death
11007	1274	21	1290	53
11008	1241	21	1273	37
#climb stairs
#ascend
11011	1428	21	1444	53
11012	1411	21	1427	53
#descend
11021	1371	21	1387	53
11022	1354	21	1370	53
#colors
11031	1176	21	1192	53
#purple
11032	1159	21	1175	53
#yellow
11033	1142	21	1158	53
#red
11034	1125	21	1141	53
#white
11035	1108	21	1124	53
#whip/use subweapon
#standing
11041	1573	78	1597	110
11042	1556	78	1572	110
11043	1531	78	1555	110
11044	1506	78	1530	110
11045	1481	78	1505	110
11046	1456	78	1480	110
#ducking
11051	1427	78	1451	110
11052	1410	78	1426	110
11053	1385	78	1409	110
11054	1360	78	1384	110
11055	1335	78	1359	110
11056	1310	78	1334	110
#ascending stairs
11061	1281	78	1305	110
11062	1264	78	1280	110
11063	1239	78	1263	110
11064	1214	78	1238	110
11065	1189	78	1213	110
11066	1164	78	1188	110
#descending stairs
11071	1135	78	1159	110
11072	1118	78	1134	110
11073	1093	78	1117	110
11074	1068	78	1092	110
11075	1043	78	1067	110
11076	1018	78	1042	110
