# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\Simon.png	116	116	116
20	textures\misc.png	176	224	248
30	textures\texture-map-1.png 	255	255	255
31	textures\hit-effect.png	255	0	255
40	textures\holder.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
#MAP1
1001	0	0 	32	32	30
1002	32	0	64	32	30
1003	64	0	96	32	30
1004	96	0	128	32	30
1005	128	0	160	32	30
1006	160	0	192	32	30
1007	192	0	224	32	30
1008	224	0	256	32	30
1009	256	0	288	32	30
1010	288	0	320	32	30
1011	320	0	352	32	30
1012	352	0	384	32	30
1013	384	0	416	32	30
1014	416	0	448	32	30
1015	448	0	480	32	30
1016	480	0	512	32	30
1017	512	0	544	32	30
1018	0	32	32	64	30
1019	32	32	64	64	30 
1020	64	32	96	64	30
1021	96	32	128	64	30
1022	128	32	160	64	30
1023	160	32	192	64	30
1024	192	32	224	64	30
1025	224	32	256	64	30
1026	256	32	288	64	30
1027	288	32	320	64	30
1028	320	32	352	64	30
1029	352	32	384	64	30
1030	384	32	416	64	30
1031	416	32	448	64	30
1032	448	32	480	64	30
1033	480	32	512	64	30
1034	512	32	544	64	30
1035	0	64	32	96	30
1036	32	64	64	96	30
1037	64	64	96	96	30
1038	96	64	128	96	30
1039	128 	64	160	96	30
1040	160	64	192	96	30
1041	192	64	224	96	30
1042	224	64	256	96	30
1043	256	64	288	96	30
1044	288	64	320	96	30
1045	320	64	352	96	30
1046	352	64	384	96	30
1047	384	64	416	96	30
1048	416	64	448	96	30
1049	448	64	480	96	30
1050	480	64	512	96	30
1051	512	64	544	96	30
1052	0	96	32	128	30
1053	32	96	64	128	30
1054	64	96	96	128	30
1055	96	96	128	128	30
1056	128	96	160	128	30
1057	160	96	192	128	30
1058	192	96	224	128	30
1059	224	96	256	128	30
1060	256	96	288	128	30
1061	288	96	320	128	30
1062	320	96	352	128	30
1063	352	96	384	128	30
1064	384	96	416	128	30
1065	416	96	448	128	30
1066	448	96	480	128	30
1067	480	96	512	128	30
1068	512	96	544	128	30
# SIMON 
# right
# idle
11001	1581	22	1597	52	0
# walk
11002	1540	21	1552	52	0		
11003	1520	22	1535	52	0
#jump/duck
11010	1498	22	1514	45	0

#whip/use subweapon
#standing
11041	1573	79	1597	109	0
11042	1556	79	1572	109	0
11043	1531	80	1553	109	0
#ducking
11051	1427	79	1451	102	0
11052	1410	79	1426	102	0
11053	1385	80	1407	102	0

# left
# idle
10001	1	22	17	52	0
#walk
10002	46	21	58	52	0
10003	63	22	78	52	0
#jump/duck
10010	84	22	100	45	0

#whip/use subweapon
#standing
10041	1	79	25	109	0
10042	26	79	42	109	0
10043	45	80	67	109	0
#ducking
10051	147	79	171	102	0
10052	172	79	188	102	0
10053	191	80	213	102	0


#BRICK
20001	408	225	424	241	20


#FIREPOT
50001	0	0	32	64	40
50002	32	0	64	64	40
#effect
30011	0	0	16	20	31

#WEAPON
#whip
#left
#lv1
50001	1	485	9	509	10
50002	10	482	26	501	10
50003	27	485	51	493	10
#lv2
50011	61	485	69	509	10
50012	105	482	121	501	10
50013	156	487	180	493	10
#lv3
50021	61	485	69	509	10
50022	105	482	121	501	10
50023	222	487	262	493	10
#right
