#id	left	top	right	bottom
#intro
10000	362	21	378	53

#idle right
11001	1581	22	1597	52
#walk
11002	1540	21	1552	52
11003	1520	22	1535	52
#jump/duck
11004	1498	22	1514	45
#colors
#purple
11005	1159	22	1175	52

#whip/use subweapon
#standing
11041	1573	79	1597	109
11042	1556	79	1572	109
11043	1531	80	1553	109
#ducking
11051	1427	79	1451	102
11052	1410	79	1426	102
11053	1385	80	1407	102

#idle left
10001	1	22	17	52
#walk
10002	46	21	58	52
10003	63	22	78	52
#jump/duck
10004	84	22	100	45
#colors
#purple
10005	423	22	439	52

#whip/use subweapon
#standing
10041	1	79	25	109
10042	26	79	42	109
10043	45	80	67	109
#ducking
10051	147	79	171	102
10052	172	79	188	102
10053	191	80	213	102
