# id	file_path	transparent_color_r	g	b
[TEXTURES]
100	..\Resources\Texture\texture-map-1.png	255	255	255
75	..\Resources\Texture\blink-effect.png	0	0	0
76	..\Resources\Texture\blink-effect-switch-scene.png	255	255	255
80	..\Resources\Texture\font.png	255	0	255
81	..\Resources\Texture\heal.png	0	0	0
82	..\Resources\Texture\board.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
#MAP1
1001	0	0 	32	32	100
1002	32	0	64	32	100
1003	64	0	96	32	100
1004	96	0	128	32	100
1005	128	0	160	32	100
1006	160	0	192	32	100
1007	192	0	224	32	100
1008	224	0	256	32	100
1009	256	0	288	32	100
1010	288	0	320	32	100
1011	320	0	352	32	100
1012	352	0	384	32	100
1013	384	0	416	32	100
1014	416	0	448	32	100
1015	448	0	480	32	100
1016	480	0	512	32	100
1017	512	0	544	32	100
1018	0	32	32	64	100
1019	32	32	64	64	100
1020	64	32	96	64	100
1021	96	32	128	64	100
1022	128	32	160	64	100
1023	160	32	192	64	100
1024	192	32	224	64	100
1025	224	32	256	64	100
1026	256	32	288	64	100
1027	288	32	320	64	100
1028	320	32	352	64	100
1029	352	32	384	64	100
1030	384	32	416	64	100
1031	416	32	448	64	100
1032	448	32	480	64	100
1033	480	32	512	64	100
1034	512	32	544	64	100
1035	0	64	32	96	100
1036	32	64	64	96	100
1037	64	64	96	96	100
1038	96	64	128	96	100
1039	128 	64	160	96	100
1040	160	64	192	96	100
1041	192	64	224	96	100
1042	224	64	256	96	100
1043	256	64	288	96	100
1044	288	64	320	96	100
1045	320	64	352	96	100
1046	352	64	384	96	100
1047	384	64	416	96	100
1048	416	64	448	96	100
1049	448	64	480	96	100
1050	480	64	512	96	100
1051	512	64	544	96	100
1052	0	96	32	128	100
1053	32	96	64	128	100
1054	64	96	96	128	100
1055	96	96	128	128	100
1056	128	96	160	128	100
1057	160	96	192	128	100
1058	192	96	224	128	100
1059	224	96	256	128	100
1060	256	96	288	128	100
1061	288	96	320	128	100
1062	320	96	352	128	100
1063	352	96	384	128	100
1064	384	96	416	128	100
1065	416	96	448	128	100
1066	448	96	480	128	100
1067	480	96	512	128	100
1068	512	96	544	128	100

#Board element
#Character
#A
80000	1	1	14	14	80
#B
80001	16	1	29	14	80
#C
80002	31	1	44	14	80
#D
80003	46	1	59	14	80
#E
80004	63	1	74	14	80
#F
80005	76	1	89	14	80
#G
80006	91	1	104	14	80
#H
80007	106	1	119	14	80
#I
80008	123	1	134	14	80
#J
80009	136	1	149	14	80
#K
80010	151	1	164	14	80
#L
80011	168	1	179	14	80
#M
80012	181	1	194	14	80
#N
80013	1	15	14	28	80
#O
80014	16	15	29	28	80
#P
80015	31	15	44	28	80
#Q
80016	46	15	59	28	80
#R
80017	63	15	74	28	80
#S
80018	76	15	89	28	80
#T
80019	91	15	104	28	80
#U
80020	106	15	119	28	80
#V
80021	123	15	134	28	80
#W
80022	136	15	149	28	80
#X
80023	151	15	164	28	80
#Y
80024	168	15	179	28	80
#Z
80025	181	15	194	28	80

#0
80026	1	29	14	42	80
#1
80027	18	29	29	42	80
#2
80028	31	29	44	42	80
#3
80029	46	29	59	42	80
#4
80030	61	29	74	42	80
#5
80031	76	29	89	42	80
#6
80032	91	29	104	42	80
#7
80033	106	29	119	42	80
#8
80034	121	29	134	42	80
#9
80035	136	29	149	42	80
#-
80036	153	34	162	36	80
#Health
#Red
80037	0	0	10	17	81

#Orange
80038	22	0	32	17	81
80039	11	0	21	17	81
#board
100000	0	0	520	80	82

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== BOARD ELEMENT =========
#Character
#A
800	80000	100

#B
801	80001	100

#C
802	80002	100

#D
803	80003	100

#E
804	80004	100

#F
805	80005	100

#G
806	80006	100

#H
807	80007	100

#I
808	80008	100

#J
809	80009	100

#K
810	80010	100

#L
811	80011	100

#M
812	80012	100

#N
813	80013	100

#O
814	80014	100

#P
815	80015	100

#Q
816	80016	100

#R
817	80017	100

#S
818	80018	100

#T
819	80019	100

#U
820	80020	100

#V
821	80021	100

#W
822	80022	100

#X
823	80023	100

#Y
824	80024	100

#Z
825	80025	100

#0
826	80026	100

#1
827	80027	100

#2
828	80028	100

#3
829	80029	100

#4
830	80030	100

#5
831	80031	100

#6
832	80032	100

#7
833	80033	100

#8
834	80034	100

#9
835	80035	100

#-
836	80036	100
#board
999	100000	100
#Health
#Red
837	80037	100
#Orange
838	80038	100
839	80039	100

[ANIMATION_SETS]
#BOARD
8	800	801	802	803	804	805	806	807	808	809	810	811	812	813	814	815	816	817	818	819	820	821	822	823	824	825	826	827	828	829	830	831	832	833	834	835	836	837	838	839
#board
12	999

#mapID	filematrix map
[MAPMATRIX]

#MAP1
1	..\Resources\Text\matrix-map-1.txt

[FLOOR]
0	..\Resources\Text\Floor.txt

[WHIP]
1	..\Resources\Text\Whip.txt

[FIREPOT]
2	..\Resources\Text\Firepot.txt

[ITEM]
3	..\Resources\Text\Item.txt

[SIMON]
4	..\Resources\Text\Simon.txt

[POTAL]
5	..\Resources\Text\Potal.txt

