# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	..\Resources\Texture\simon.png	255	0	255
1	..\Resources\Texture\simon-death.png	255	0	255
20	..\Resources\Texture\floor_2.png	255	255	255
22	..\Resources\Texture\4_small_bricks.png	255	255	255
23	..\Resources\Texture\3_small_bricks.png	255	255	255
30	..\Resources\Texture\holder.png	255	0	255
40	..\Resources\Texture\item.png	255	0	255
50	..\Resources\Texture\whip.png	255	0	255
51	..\Resources\Texture\dagger.png	255	0	255
52	..\Resources\Texture\holy_water.png	255	0	255
53	..\Resources\Texture\axe.png	255	0	255
70	..\Resources\Texture\burn.png	255	0	255
71	..\Resources\Texture\effect400.png	255	0	255
72	..\Resources\Texture\effect700.png	255	0	255
73	..\Resources\Texture\effect1000.png	255	0	255
74	..\Resources\Texture\hit-effect.png	255	0	255
75	..\Resources\Texture\blink-effect.png	0	0	0
80	..\Resources\Texture\font.png	255	0	255
81	..\Resources\Texture\heal.png	0	0	0
90	..\Resources\Texture\door.png	255	0	255
200	..\Resources\Texture\texture-map-2.png	255	255	255
100	..\Resources\Texture\enemy_bullet.png	255	0	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#MAP2
2001	0	0	32	32 	200
2002	32	0	64	32	200
2003	64	0	96	32	200
2004	96	0	128	32	200
2005	128	0	160	32	200
2006	160	0	192	32	200
2007	192	0	224	32	200
2008	224	0	256	32	200
2009	256	0	288	32	200
2010	288	0	320	32	200
2011	320	0	352	32	200
2012	352	0	384	32	200
2013	384	0	416	32	200
2014	416	0	448	32	200
2015	448	0	480	32	200
2016	480	0	512	32	200
2017	512	0	544	32	200
2018	0	32	32	64	200
2019	32	32	64	64	200
2020	64	32	96	64	200
2021	96	32	128	64	200
2022	128	32	160	64	200
2023	160	32	192	64	200
2024	192	32	224	64	200
2025	224	32	256	64	200
2026	256	32	288	64	200
2027	288	32	320	64	200
2028	320	32	352	64	200
2029 	352	32	384	64	200
2030	384	32	416	64	200
2031	416	32	448	64	200
2032	448	32	480	64	200
2033	480	32	512	64	200
2034	512	32	544	64	200
2035	0	64	32	96	200
2036	32	64	64	96	200
2037	64	64	96	96	200
2038	96	64	128	96	200
2039	128	64	160	96	200
2040	160	64	192	96	200
2041	192	64	224	96	200
2042	224	64	256	96	200
2043	256	64	288	96	200
2044	288	64	320	96	200
2045	320	64	352	96	200
2046	352	64	384	96	200
2047	384	64	416	96	200
2048	416	64	448	96	200
2049	448	64	480	96	200
2050	480	64	512	96	200
2051	512	64	544	96	200
2052	0	96	32	128	200
2053	32	96	64	128	200
2054	64	96	96	128	200
2055	96	96	128	128	200
2056	128	96	160	128	200
2057	160	96	192	128	200
2058	192	96	224	128	200
2059	224	96	256	128	200
2060	256	96	288	128	200
2061	288	96	320	128	200
2062	320	96	352	128	200
2063	352	96	384	128	200
2064	384	96	416	128	200
2065	416	96	448	128	200
2066	448	96	480	128	200
2067	480	96	512	128	200
2068	512	96	544	128	200
2069	0	128	32	160	200
2070	32	128	64	160	200
2071	64	128	96	160	200
2072	96	128	128	160	200
2073	128	128	160	160	200
2074	160	128	192	160	200
2075	192	128	224	160	200
2076	224	128	256	160	200
2077	256	128	288	160	200
2078	288	128	320	160	200
2079	320	128	352	160	200
2080	352	128	384	160	200
2081	384	128	416	160	200
2082	416	128	448	160	200
2083	448	128	480	160	200
2084	480	128	512	160	200
2085	512	128	544	160	200
2086	0	160	32	192	200
2087	32	160	64	192	200
2088	64	160	96	192	200
2089	96	160	128	192	200
2090	128	160	160	192	200
2091	160	160	192	192	200
2092	192	160	224	192	200
2093	224	160	256	192	200
2094	256	160	288	192	200
2095	288	160	320	192	200
2096	320	160	352	192	200
2097	352	160	384	192	200
2098	384	160	416	192	200
2099	416	160	448	192	200
2100	448	160	480	192	200
2101	480	160	512	192	200
2102	512	160	544	192	200

#SIMON
#intro
10000	60	66	120	132	0
# left
# idle
10001	0	0	60	66	0
#walk
10002	60	0	120	66	0
10003	120	0	180	66	0
#jump/duck
