# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	..\Resources\Texture\simon.png	255	0	255
1	..\Resources\Texture\simon-death.png	255	0	255
20	..\Resources\Texture\floor_2.png	255	255	255
21	..\Resources\Texture\small_brick.png	255	255	255
30	..\Resources\Texture\holder.png	255	0	255
40	..\Resources\Texture\item.png	255	0	255
50	..\Resources\Texture\whip.png	255	0	255
51	..\Resources\Texture\dagger.png	255	0	255
52	..\Resources\Texture\holy_water.png	255	0	255
70	..\Resources\Texture\burn.png	255	0	255
71	..\Resources\Texture\effect400.png	255	0	255
72	..\Resources\Texture\effect700.png	255	0	255
73	..\Resources\Texture\effect1000.png	255	0	255
74	..\Resources\Texture\hit-effect.png	255	0	255
75	..\Resources\Texture\broken_brick.png	255	0	255
76	..\Resources\Texture\steam.png	255	0	255
80	..\Resources\Texture\font.png	255	0	255
81	..\Resources\Texture\heal.png	0	0	0
90	..\Resources\Texture\door.png	255	0	255
300	..\Resources\Texture\texture-map-3.png	255	255	255
85	..\Resources\Texture\board.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
#MAP3
3001	0	0	32	32	300
3002	32	0	64	32	300
3003	64	0	96	32	300
3004	96	0	128	32	300
3005	128	0	160	32	300
3006	160	0	192	32	300
3007	192	0	224	32	300
3008	224	0	256	32	300
3009	256	0	288	32	300
3010	0	32	32	64	300
3011	32	32	64	64	300
3012	64	32	96	64	300
3013	96	32	128	64	300
3014	128	32	160	64	300
3015	160	32	192	64	300
3016	192	32	224	64	300
3017	224	32	256	64	300
3018	256	32	288	64	300
3019	0	64	32	96	300
3020	32	64	64	96	300
3021	64	64	96	96	300
3022	96	64	128	96	300
3023	128	64	160	96	300
3024	160	64	192	96	300
3025	192	64	224	96	300
3026	224	64	256	96	300
3027	256	64	288	96	300

#SIMON
#intro
10000	60	66	120	132	0
# left
# idle
10001	0	0	60	66	0
#walk
10002	60	0	120	66	0
10003	120	0	180	66	0
#jump/duck
10004	240	0	300	66	0
#hurt
10005	900	66	960	132	0
#death
10006	0	0	64	68	1
#stair
#up
10011	60	0	120	66	0
10012	240	66	300	132	0
#down
10016	60	0	120	66	0
10017	120	66	180	132	0
#whip/use subweapon
#standing
10021	300	0	360	66	0
10022	361	0	421	66	0
10023	420	0	480	66	0
#ducking
10026	420	66	480	132	0
10027	-1	132	59	198	0
10028	61	132	121	198	0
#uping
10031	300	132	360	198	0
10032	360	132	420	198	0
10033	420	132	480	198	0
#downing
10036	120	132	180	198	0
10037	180	132	240	198	0
